JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
1	Agriculture	11438857.68	10995378.21	10983956.32	11126827.1	11264588.52	11366015.88	12002425.54	11317284.3	11581021.21	10497035.09	9811793.774	9674924.685	9426037.044	9643695.202	9739537.527	9724089.165	9526869.482	9375112	9425168	9505139.483	9396866.708	9190654.962
2	Agricultural services	948179.8014	917617.5039	887843.9898	841495.3309	826795.2956	786345.5555	753910.862	729488.9514	733733.9319	740467.582	727141.8774	724051.7411	741986.0239	763150.5143	800669.8633	795816.4868	816576.9691	850217	861683	850542.3256	865305.748	867105.3603
3	Forestry	611607.9921	615740.3818	543003.432	502002.8923	464044.4777	454844.3957	470388.2923	434122.3812	405953.8901	402553.889	414435.4654	412006.0352	435188.8447	440528.8302	445644.4671	407608.9913	424939.5308	431001	400126	420699.9943	432723.5348	442937.9816
4	Fisheries	2560442.173	2276459.633	2243763.274	2183838.72	2088259.632	2019513.648	1971800.991	1969932.939	1924140.698	1750297.274	1740387.184	1711277.316	1716007.322	1745317.053	1712989.345	1549742.411	1538242.813	1438578	1433036	1451823.24	1373719.79	1366866.483
5	Mining	1697060.21	1622684.514	1711908.268	1629081.866	1531186.868	1543473.38	1608169.888	1569893.292	1466321.63	1373169.361	1251204.588	1196986.969	1110808.086	1044296.357	949799.2896	867343.1494	839555.0428	769198	765630	784180.9075	774090.5075	755484.775
6	Livestock products	5333074.75	5329272.663	5194727.557	5173262.914	5141612.44	5113131.864	5071702.567	4965070.644	5223741.152	5129701.813	5206320.668	4936073.159	4867121.154	4879663.714	4872971.44	4845357.795	4900822.347	4778892	4792817	4922568.791	4831979.633	4823540.857
7	Seafood products	5066326.894	5216460.61	5035394.522	4827968.149	4769817.627	4503839.007	4301673.536	4188534.453	4043262.622	3844868.599	3724135.234	3680698.516	3463443.872	3456258.727	3196114.243	2980522.676	2940061.084	2783000	2599169	2627572.306	2563491.029	2558869.952
8	Flour and grain mill products	1162281.888	1286070.606	1398847.696	1343038.408	1403199.218	1328465.086	1276030.163	1276077.913	1386475.971	1346894.653	1416504.653	1360742.817	1551670.474	1587274.434	1694935.968	1540369.47	1605237.254	1681023	1725986	1708694.65	1710049.537	1705815.363
9	Miscellaneous foods and related products	13144952.54	12935959.88	13151319.15	12876279.43	13150730.55	13192498.4	12781486.74	12948036.44	12633285.84	12892934.24	12775093.47	13102089.46	13521477.54	14008245.24	13822045.59	13602993.27	14126581.04	14334171	14605804	14760028.08	15034903.37	15091971.05
10	Beverages	8472908.537	8474681.978	8481493.364	8647264.288	8550369.763	8349747.353	8221322.169	8447125.126	8176880.87	8118436.787	8357989.278	7782030.332	7428370.377	7478280.714	7117404.489	7187951.264	7227160.232	6644129	6866614	6814902.492	6836003.386	6485638.689
11	Prepared animal foods and organic fertilizers	1249759.367	1138216.3	1090397.545	1139396.588	1151884.843	1121611.476	1016391.528	1034937.126	1049538.93	1011952.599	969524.8745	1031430.973	1017829.714	1093620.064	1089459.382	1130045.051	1130210.204	1045035	1054945	972846.5145	963011.4938	993072.0991
12	Tobacco	5090950.809	5089293.472	5104274.026	5056147.645	5160233.355	5024001.869	5001341.425	4780960.79	4564223.337	4314738.925	4131415.004	3572601.885	3305227.114	3180836.159	3116714.433	2982503.694	2732441.177	2162965	2261893	2303430.437	2313851.851	2142467.782
13	Textile products (except chemical fibers)	11848870.91	11444462.94	10535298.59	9809727.087	9082179.491	8079091.076	7313507.792	6396312.207	5689830.944	5337538.012	5022061.865	4614776.676	4377848.472	4285304.952	4014453.095	3326241.891	3179266.164	3365560	3210903	2943027.725	2861846.984	2899148.011
14	Chemical fibers	1263849.325	1236457.443	1229921.124	1202420.571	1117168.671	1125125.751	1100500.652	949780.7249	888116.1016	784280.9559	695274.6183	657856.0882	658059.702	555614.5552	549176.9176	614177.4257	552321.2569	481035	578022	555093.9692	448637.8661	458462.1805
15	"Pulp, paper, and coated and glazed paper"	5543985.449	5580981.282	5651199.502	5691783.598	5450789.245	5437576.056	5542412.208	5259645.464	5114566.052	5170630.76	5168719.464	5267471.476	5308360.921	5063940.981	4920643.973	4087323.787	4441779.212	4358996	4040980	4132846.294	4158322.001	4103832.043
16	Paper products	4509952.457	4546053.041	4470177.359	4488182.286	4426867.82	4303120.265	4256536.999	4108739.171	3966331.164	3792269.374	3814329.487	3725122.063	3695715.582	3855071.131	3740059.697	3333910.768	3464699.038	3357324	3244503	3195454.288	3228914.428	3394312.069
17	Chemical fertilizers	887122.6231	937370.7113	888215.1682	849965.0698	849314.98	894245.0463	845392.9774	762221.3243	773092.2791	773761.5384	825586.4119	652633.9092	650635.1808	763784.5859	783124.6371	639890.4127	693719.0066	619097	589075	579114.411	592143.2979	585853.6724
18	Basic inorganic chemicals	1938599.881	2033223.869	2103889.475	2232030.368	2235713.118	2154474.587	2170581.782	2029121.407	1956246.936	1943682.196	2032742.898	1935116.061	1945689.687	1986524.856	1981649.015	1431801.177	1609962.217	1728656	1601055	1548464.023	1412903.066	1409788.567
19	Basic organic chemicals	2283825.151	2389887.404	2772278.152	2811583.832	2986460.779	2941783.001	2460605.288	3239301.566	3144911.541	3084743.313	3348833.807	3376066.064	3885499.863	3604025.251	2926488.594	2214025.866	3383821.058	3090494	3137253	3605937.429	3209293.365	3539549.498
20	Organic chemicals	14670733.24	14627663.73	14846212.12	15834381.99	15056463.08	14980498.63	14574658.64	13370566.17	13055139.86	13005356.52	11952391.8	12041422.14	11296366.13	11179064.38	11059635.15	10739509.87	10874773.07	9865841	9945105	9770306.449	9900154.628	10640524.77
21	Pharmaceutical products	4735584.719	5194014.425	5202113.728	5066085.212	4831547.023	5085770.315	5427007.434	5479940.755	6039763.392	6097124.357	6263523.996	5691185.482	5994116.636	6491094.806	6745756.896	7180410.823	7489200.925	8190452	8258908	8345727.381	8322322.589	8843231.706
22	Miscellaneous chemical products	6223808.49	6083362.39	6379408.206	6672739.039	6561192.272	6633441.553	6844428.978	6862319.822	6364164.638	6441136.033	6612227.437	6991458.532	6906849.585	6845824.569	6627978.856	5646175.872	6130408.399	5928040	5826029	5880882.481	6112455.663	6275221.231
23	Petroleum products	25003926.53	24561567.89	26838976.65	27779514.23	26960320.58	25716506.94	24218215.28	23781828.76	22494442.98	21800863.19	21149579.15	21431875.34	20873639.99	20991815.38	19205213.25	21744311.15	20652374.23	18524895	19572511	19125800.49	18698672.71	19469738.58
24	Coal products	2934365.653	3035969.479	3632147.124	2999108.891	3187152.78	2736494.607	3125324.285	3018125.34	2810289.123	2792629.542	2419951.76	2201133.377	2488238.961	2375862.895	2157365.516	2023452.931	2210571.646	2083836	2109202	2026703.36	2053992.418	1915561.104
